# tof, counts, bg
3.160000000000327702e+01,1.228000000000000000e+03,3.929285303271697103e+02
3.200000000000328271e+01,1.426000000000000000e+03,3.942822714006420028e+02
3.240000000000328839e+01,1.947000000000000000e+03,3.955218465179874556e+02
3.280000000000329408e+01,2.327000000000000000e+03,3.964703402781327100e+02
3.320000000000329976e+01,2.769000000000000000e+03,3.972269018254538082e+02
3.360000000000330544e+01,3.049000000000000000e+03,3.983920709975014347e+02
3.400000000000331113e+01,3.264000000000000000e+03,3.991353710765964138e+02
3.440000000000331681e+01,3.253000000000000000e+03,4.000065577748839587e+02
3.480000000000332250e+01,3.075000000000000000e+03,4.008207757841253738e+02
3.520000000000332818e+01,3.090000000000000000e+03,4.015413008448402366e+02
3.560000000000333387e+01,3.176000000000000000e+03,4.022817609879114116e+02
3.600000000000333955e+01,3.153000000000000000e+03,4.030107621877044153e+02
3.640000000000334524e+01,3.339000000000000000e+03,4.034889844547115558e+02
3.680000000000335092e+01,3.444000000000000000e+03,4.037811236738246521e+02
3.720000000000335660e+01,3.563000000000000000e+03,4.040007926554002893e+02
3.760000000000336229e+01,3.609000000000000000e+03,4.046020434580631218e+02
3.800000000000336797e+01,3.793000000000000000e+03,4.047580573175412155e+02
3.840000000000337366e+01,3.852000000000000000e+03,4.051219960608372617e+02
3.880000000000337934e+01,3.833000000000000000e+03,4.052737092285335052e+02
3.920000000000338503e+01,3.927000000000000000e+03,4.051554760500685006e+02
3.960000000000339071e+01,3.853000000000000000e+03,4.053413316757768143e+02
4.000000000000339639e+01,3.923000000000000000e+03,4.055102589428514648e+02
4.040000000000340208e+01,3.841000000000000000e+03,4.053101327630039918e+02
4.080000000000340776e+01,3.988000000000000000e+03,4.051978797754225639e+02
4.120000000000341345e+01,3.753000000000000000e+03,4.050808343245599872e+02
4.160000000000341913e+01,3.843000000000000000e+03,4.046424115206829129e+02
4.200000000000342482e+01,3.750000000000000000e+03,4.039749206572095659e+02
4.240000000000343050e+01,3.871000000000000000e+03,4.033613738868970131e+02
4.280000000000343618e+01,3.759000000000000000e+03,4.025458024318769503e+02
4.320000000000344187e+01,3.687000000000000000e+03,4.013180117317924669e+02
4.360000000000344755e+01,3.776000000000000000e+03,3.999630504355513381e+02
4.400000000000345324e+01,3.723000000000000000e+03,3.984698054346511071e+02
4.440000000000345892e+01,3.697000000000000000e+03,3.964205408806419086e+02
4.480000000000346461e+01,3.654000000000000000e+03,3.943231173043118929e+02
4.520000000000347029e+01,3.671000000000000000e+03,3.920443993753976883e+02
4.560000000000347598e+01,3.782000000000000000e+03,3.897850459604447337e+02
4.600000000000348166e+01,3.585000000000000000e+03,3.874476785885206596e+02
4.640000000000348734e+01,3.418000000000000000e+03,3.845925612523035966e+02
4.680000000000349303e+01,3.500000000000000000e+03,3.814682032824715066e+02
4.720000000000349871e+01,3.350000000000000000e+03,3.782668526988621807e+02
4.760000000000350440e+01,3.267000000000000000e+03,3.748627222111322226e+02
4.800000000000351008e+01,3.232000000000000000e+03,3.714304493763806931e+02
4.840000000000351577e+01,3.246000000000000000e+03,3.681872822113202801e+02
4.880000000000352145e+01,3.163000000000000000e+03,3.647903982898615141e+02
4.920000000000352713e+01,3.236000000000000000e+03,3.611918330872417755e+02
4.960000000000353282e+01,3.193000000000000000e+03,3.572161712270595331e+02
5.000000000000353850e+01,3.142000000000000000e+03,3.531813761214872329e+02
5.040000000000354419e+01,3.063000000000000000e+03,3.491757065120072525e+02
5.080000000000354987e+01,2.972000000000000000e+03,3.451997867745076292e+02
5.120000000000355556e+01,3.021000000000000000e+03,3.412241777586133935e+02
5.160000000000356124e+01,2.944000000000000000e+03,3.372292269658795476e+02
5.200000000000356692e+01,2.890000000000000000e+03,3.332863129512575142e+02
5.240000000000357261e+01,2.865000000000000000e+03,3.293338570674888501e+02
5.280000000000357829e+01,2.836000000000000000e+03,3.253453657256449105e+02
5.320000000000358398e+01,2.650000000000000000e+03,3.210175727132494217e+02
5.360000000000358966e+01,2.732000000000000000e+03,3.166973822224274500e+02
